trip_id,start_time,end_time,headway_secs,exact_times
08e720a2-7911-4264-a7c4-923ee8fae288,22:00:00,29:00:00,3600,0
7a85cc4d-4956-44a5-b6c3-042704270fc9,04:40:00,05:04:00,1440,0
cee6859f-e491-4f46-897f-8c4f829ac806,25:00:00,28:00:00,3600,0
360bb539-c90c-44cd-8583-915e5adc2d6f,05:00:00,06:00:00,900,0
76a8bd31-3be3-4d42-8a23-a3d081adcd73,16:00:00,17:00:00,720,0
eb9d8490-3854-4244-b0fa-c94f55adf3ee,12:00:00,14:00:00,1200,0
9d750acc-ff59-4e7c-8d6c-a05e8b2402f6,14:00:00,20:00:00,1800,0
99cbe101-b7ae-41ae-9ccb-7fa61b783d52,05:00:00,06:00:00,1800,0
1c91ab61-39a9-42e8-99d6-4a41af5502fa,07:00:00,08:00:00,1800,0
c1632bfd-d280-4476-a0b6-6f50451fb425,22:00:00,23:00:00,1200,0
3cc38763-551a-4fbc-880d-4d7894962cec,23:00:00,28:00:00,3600,0
939b61f0-fa4f-4c16-9bc1-cf5e1fd9b5c7,22:00:00,28:00:00,3600,0
020f06d9-a8fb-4629-a26a-d126ea91d508,14:00:00,16:00:00,1200,0
f768861d-9bcc-487f-bd5b-0b16ae9a753f,23:00:00,29:00:00,3600,0
55a67cb5-9614-4a63-8942-cfa7ae8763b9,22:00:00,23:00:00,1800,0
66336ded-5779-4800-bcde-c7e67c86ddfb,23:00:00,29:00:00,3600,0
47df9bd7-64dc-48ee-be6c-2086af8f6ef6,23:00:00,24:00:00,1800,0
71be5e10-e4ea-487f-907f-77d7a551e67d,11:00:00,14:00:00,900,0
72a4c3f6-c139-481a-8b3d-76bf360e1021,07:00:00,08:00:00,720,0
fc8a977a-1714-47e4-a431-cb51ab91d15a,05:00:00,06:00:00,3600,0
ee2e0fce-9adb-4e2f-97e6-e97b0a7acf88,16:00:00,18:00:00,1200,0
ce35541f-ec3f-482d-ac23-4d78c87c8858,14:00:00,15:00:00,900,0
346b0a33-dd74-4ba1-aed6-ee663f4af3bf,21:00:00,23:00:00,1800,0
cd9f43e0-35a6-4df0-80ca-187495c64127,07:00:00,08:00:00,900,0
bc75a238-4c86-4ada-aa0c-eb3b8b728b4d,12:00:00,14:45:00,660,0
79d629e8-c2c8-4bf6-9d49-70fd1a2b49b2,15:00:00,18:00:00,1080,0
16e569eb-237c-46c5-a7c7-12ca47f5fb99,12:00:00,13:00:00,1800,0
a92b5584-c16f-47a4-b6ce-5fea21b0dcae,04:00:00,22:00:00,3600,0
6a7d8842-ddca-4e48-a872-1bc7f669a698,17:00:00,19:00:00,1200,0
60798064-2c2d-4c15-a89f-c8e940cbfe32,05:00:00,06:00:00,3600,0
7e63fb00-5378-4340-8026-9ab9ab5b66de,06:00:00,08:00:00,1800,0
aba5ddfb-f2be-4808-b882-7894f7fb8d0c,21:00:00,23:00:00,3600,0
11eb8707-3f0b-4841-ae1c-355074fcce4f,18:00:00,21:00:00,1800,0
4bbfbd03-a790-43d6-9642-f3538c2f358f,05:00:00,07:00:00,1200,0
fa13f762-8e56-4130-90e5-826ae0a11c7b,09:00:00,10:00:00,3600,0
ebe2ce54-8ceb-4368-b4fb-b8c4def3a0bb,20:00:00,24:00:00,3600,0
7ab4caa9-7fa9-409f-b097-41b801ad234d,05:00:00,06:00:00,1200,0
af91a470-4084-41f6-93e1-236622610c5c,04:00:00,05:00:00,720,0
4bb3664a-c9b8-4a57-9778-6702dce69008,21:00:00,22:00:00,1800,0
390a906d-4e1d-41df-9c93-81b2f8bb9428,12:00:00,15:00:00,720,0
090b8306-cb8b-4143-992d-ed12c4387203,22:00:00,23:00:00,1800,0
551600b3-dc41-4ad9-b67c-0e2f43e65ece,23:00:00,24:00:00,1800,0
9e96d304-f51b-454e-9b80-23eb654cbfe5,22:00:00,23:00:00,1800,0
